root,label,url_c
1420,7,https://live.staticflickr.com/8098/8545613924_c1de0a5ebb_c.jpg
754,1,https://live.staticflickr.com/7220/7396205878_fac7e5c0cc_c.jpg
5753,7,https://live.staticflickr.com/5490/12147753353_2e78d463b0_c.jpg
4864,9,https://live.staticflickr.com/5576/15008946809_74b6402889_c.jpg
5166,2,https://live.staticflickr.com/2863/9572117876_a3577f7b34_c.jpg
4238,3,https://live.staticflickr.com/1385/1366178041_a3fc9d95b9_c.jpg
1388,4,https://live.staticflickr.com/266/18593698680_30a6943fea_c.jpg
3469,2,https://live.staticflickr.com/7549/16062008297_dfa1c16fe6_c.jpg
2951,1,https://live.staticflickr.com/4080/5452671426_7007bf81f1_c.jpg
3245,2,https://live.staticflickr.com/1922/44488961964_5b2215a60e_c.jpg
4393,2,https://live.staticflickr.com/5159/7097351003_9de6b003e9_c.jpg
3763,8,https://live.staticflickr.com/3816/10990605356_4c38abde9a_c.jpg
1254,6,https://live.staticflickr.com/5124/5378371294_c2d98052b3_c.jpg
3841,0,https://live.staticflickr.com/5190/5681508192_5523016c86_c.jpg
6165,3,https://live.staticflickr.com/8173/8069041808_39090d80a1_c.jpg
3785,3,https://live.staticflickr.com/5768/23298126620_1b6709bc18_c.jpg
4768,8,https://live.staticflickr.com/2217/1559924750_26c129b827_c.jpg
1675,3,https://live.staticflickr.com/8581/28447020753_6f0b22e706_c.jpg
3200,5,https://live.staticflickr.com/80/214429599_ad93e96897_c.jpg
6133,7,https://live.staticflickr.com/5083/5262753879_859648c2f9_c.jpg
7250,8,https://live.staticflickr.com/4092/4968778108_95aafa3c4b_c.jpg
2945,7,https://live.staticflickr.com/49/150690441_87984b2cec_c.jpg
2994,7,https://live.staticflickr.com/2919/33313315240_b6833de051_c.jpg
4936,8,https://live.staticflickr.com/8182/8063252583_da9aa711f4_c.jpg
2067,6,https://live.staticflickr.com/218/454533290_245ed496f8_c.jpg
3596,2,https://live.staticflickr.com/4470/37993431501_3888bfa321_c.jpg
6375,2,https://live.staticflickr.com/5204/5252769930_050f791eb6_c.jpg
2751,8,https://live.staticflickr.com/8438/7882706768_4cbaf8cd68_c.jpg
4925,8,https://live.staticflickr.com/6047/6323780368_7964172e64_c.jpg
2844,1,https://live.staticflickr.com/5612/31113277135_387da14a39_c.jpg
6908,4,https://live.staticflickr.com/7202/6830633464_b61b90b544_c.jpg
5312,5,https://live.staticflickr.com/5305/5659055724_d783da1b40_c.jpg
878,7,https://live.staticflickr.com/2852/13831028924_6de2838322_c.jpg
5464,8,https://live.staticflickr.com/3267/2909034554_1f96677316_c.jpg
5290,7,https://live.staticflickr.com/3509/3466933336_b6b73022dd_c.jpg
4373,7,https://live.staticflickr.com/2877/12337586434_5056af21c4_c.jpg
3019,1,https://live.staticflickr.com/2103/2311075675_ee220bf9ab_c.jpg
3325,9,https://live.staticflickr.com/7313/12326665045_692a413ba3_c.jpg
6209,0,https://live.staticflickr.com/8184/8116169335_8e1e7d0576_c.jpg
4311,2,https://live.staticflickr.com/7302/11784267376_6cb94e7695_c.jpg
1166,1,https://live.staticflickr.com/5147/5668450508_66a471eb83_c.jpg
7186,8,https://live.staticflickr.com/7348/9908658966_960ae5c077_c.jpg
3303,7,https://live.staticflickr.com/4603/40398107092_91dc0f7189_c.jpg
4142,2,https://live.staticflickr.com/8047/8121547157_f78dc67c17_c.jpg
518,7,https://live.staticflickr.com/64/228895739_d42f211969_c.jpg
62,9,https://live.staticflickr.com/5073/5880045092_ac0a70a3d9_c.jpg
3785,8,https://live.staticflickr.com/3906/15360058422_70ab65a94d_c.jpg
6836,4,https://live.staticflickr.com/7579/15233787813_b1980e9caf_c.jpg
87,6,https://live.staticflickr.com/178/423456992_d3c62d0e68_c.jpg
5905,8,https://live.staticflickr.com/1310/5120192407_4ae9ce8ba6_c.jpg
2226,3,https://live.staticflickr.com/5105/5580022593_b6b7cb5bf0_c.jpg
427,1,https://live.staticflickr.com/610/23652829926_1cc75d7f90_c.jpg
275,7,https://live.staticflickr.com/98/218330817_45a8e09a2a_c.jpg
6440,7,https://live.staticflickr.com/65535/40783836063_9acbb97ab0_c.jpg
5781,0,https://live.staticflickr.com/6139/5950444412_dbae0798f6_c.jpg
6803,8,https://live.staticflickr.com/3774/19197173704_0708474681_c.jpg
3799,8,https://live.staticflickr.com/3653/3386079680_3137f09bd0_c.jpg
878,1,https://live.staticflickr.com/2665/3847974334_a277856ac0_c.jpg
5463,7,https://live.staticflickr.com/2752/4099063160_13779ba262_c.jpg
352,3,https://live.staticflickr.com/7582/16084086629_450eda05e7_c.jpg
5194,8,https://live.staticflickr.com/8437/7891228468_35458b28a9_c.jpg
7414,9,https://live.staticflickr.com/4107/5141460943_de4b116d43_c.jpg
7358,1,https://live.staticflickr.com/4075/4759503079_e9efb542e4_c.jpg
5880,1,https://live.staticflickr.com/4101/4759519569_0aa9776cc8_c.jpg
1560,9,https://live.staticflickr.com/2642/4183715550_d4ab4a1023_c.jpg
714,5,https://live.staticflickr.com/2475/3697156669_d55ab21d42_c.jpg
4392,6,https://live.staticflickr.com/7353/16344712200_8b6ef9693d_c.jpg
5565,2,https://live.staticflickr.com/1951/31216338428_98d55a793c_c.jpg
472,0,https://live.staticflickr.com/7711/17068226896_fff4134474_c.jpg
3051,1,https://live.staticflickr.com/8081/8342012210_4521afd97f_c.jpg
2601,2,https://live.staticflickr.com/8578/16108299903_e6f1741e1a_c.jpg
749,1,https://live.staticflickr.com/5558/14457794066_cec25fec41_c.jpg
5476,4,https://live.staticflickr.com/1489/23687034423_290973fb62_c.jpg
5095,1,https://live.staticflickr.com/5002/5320580098_171bcbf29a_c.jpg
6339,9,https://live.staticflickr.com/5802/30390509733_da333edf0f_c.jpg
6797,5,https://live.staticflickr.com/3904/14545220613_f7b2b6b8bc_c.jpg
1892,8,https://live.staticflickr.com/3535/4052548586_ee98b381a7_c.jpg
999,2,https://live.staticflickr.com/5235/14359935336_970471f8aa_c.jpg
2094,2,https://live.staticflickr.com/957/41068253284_92dfc63a7a_c.jpg
66,9,https://live.staticflickr.com/78/213773464_8c393fd960_c.jpg
2783,3,https://live.staticflickr.com/5250/5350853780_faca0371cb_c.jpg
1869,0,https://live.staticflickr.com/5544/9115479670_80ae4e16bb_c.jpg
5668,9,https://live.staticflickr.com/96/236883905_40a06cfa0b_c.jpg
2588,4,https://live.staticflickr.com/4099/4796659488_a1e86de852_c.jpg
6743,2,https://live.staticflickr.com/4228/34915108716_ed859bbdcc_c.jpg
5201,4,https://live.staticflickr.com/7610/16566726007_48c680b0eb_c.jpg
6344,7,https://live.staticflickr.com/3007/2578195379_b562251679_c.jpg
